group_id,source_sheet,source_row,service_no,guest_type,pax_clean,queue_start,queue_end,meal_start_clean,meal_end_clean,table_code,service_status,wait_minutes_recorded,wait_minutes_strict,meal_minutes,queue_observed,walkaway,queue_eligible,meal_eligible,pax_eligible,table_status,table_units_confirmed,needs_review,review_reason
153_59,153,60,59,In house,2,09:38:00,10:45:00,10:45:00,11:30:00,4B/5A,queued_meal,67.0,67.0,45.0,1,0,1,1,1,slash_needs_confirmation,,1,รหัสโต๊ะต้องยืนยัน
153_60,153,61,60,Walk in,,09:40:00,10:48:00,,,,walk_away,68.0,68.0,,1,1,1,0,0,no_table,,1,จำนวนคนไม่ถูกต้อง
153_61,153,62,61,Walk in,2,09:42:00,10:50:00,10:50:00,11:55:00,15A,queued_meal,68.0,68.0,65.0,1,0,1,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
153_62,153,63,62,Walk in,2,09:45:00,10:50:00,10:50:00,11:26:00,15B,queued_meal,65.0,65.0,36.0,1,0,1,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
153_63,153,64,63,In house,2,09:46:00,10:55:00,10:55:00,12:07:00,8B,queued_meal,69.0,69.0,72.0,1,0,1,1,1,documented,8B,0,
153_64,153,65,64,Walk in,2,09:47:00,11:03:00,11:03:00,11:43:00,7C,queued_meal,76.0,76.0,40.0,1,0,1,1,1,documented,7C,0,
153_65,153,66,65,Walk in,2,09:57:00,11:05:00,,,,walk_away,68.0,68.0,,1,1,1,0,1,no_table,,0,
153_66,153,67,66,Walk in,4,10:07:00,11:05:00,11:05:00,12:25:00,3,queued_meal,58.0,58.0,80.0,1,0,1,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
153_67,153,68,67,Walk in,2,10:15:00,11:06:00,,,10A,queued_meal,51.0,,,1,0,0,0,1,documented,10A,1,เวลาคิวและมื้ออาหารขัดกัน
153_68,153,69,68,Walk in,2,09:10:00,10:30:00,10:30:00,12:10:00,5B,queued_meal,80.0,80.0,100.0,1,0,1,1,1,documented,5B,0,
153_69,153,70,69,Walk in,1,10:23:00,11:09:00,11:09:00,12:20:00,4A,queued_meal,46.0,46.0,71.0,1,0,1,1,1,documented,4A,0,
153_70,153,71,70,Walk in,1,10:24:00,11:09:00,11:09:00,12:10:00,8A,queued_meal,45.0,45.0,61.0,1,0,1,1,1,documented,8A,0,
153_71,153,72,71,Walk in,1,10:25:00,11:15:00,,,,walk_away,50.0,50.0,,1,1,1,0,1,no_table,,0,
153_72,153,73,72,Walk in,1,10:40:00,11:10:00,11:10:00,11:50:00,2B,queued_meal,30.0,30.0,40.0,1,0,1,1,1,documented,2B,0,
153_73,153,74,73,Walk in,2,10:41:00,11:12:00,11:12:00,11:43:00,16,queued_meal,31.0,31.0,31.0,1,0,1,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
153_74,153,75,74,Walk in,1,10:53:00,11:05:00,,,,walk_away,12.0,12.0,,1,1,1,0,1,no_table,,0,
153_75,153,76,75,In house,3,10:55:00,11:40:00,11:40:00,12:30:00,13-14,queued_meal,45.0,45.0,50.0,1,0,1,1,1,documented,13 | 14,0,
153_76,153,77,76,In house,2,11:00:00,11:14:00,11:14:00,11:35:00,2A,queued_meal,14.0,14.0,21.0,1,0,1,1,1,documented,2A,0,
153_77,153,78,77,In house,1,11:14:00,11:15:00,,,,walk_away,1.0,1.0,,1,1,1,0,1,no_table,,0,
153_78,153,79,78,Walk in,,11:14:00,11:20:00,,,,walk_away,6.0,6.0,,1,1,1,0,0,no_table,,1,จำนวนคนไม่ถูกต้อง
153_79,153,80,79,In house,2,11:15:00,11:20:00,11:20:00,11:55:00,7A,queued_meal,5.0,5.0,35.0,1,0,1,1,1,documented,7A,0,
153_80,153,81,80,In house,2,11:15:00,11:23:00,11:23:00,12:20:00,1B,queued_meal,8.0,8.0,57.0,1,0,1,1,1,documented,1B,0,
153_81,153,82,81,In house,2,,,11:12:00,12:30:00,12,direct_meal,,,78.0,0,0,0,1,1,documented,12,0,
153_82,153,83,82,In house,1,,,11:25:00,12:00:00,12,direct_meal,,,35.0,0,0,0,1,1,documented,12,0,
153_83,153,84,83,In house,1,11:25:00,11:27:00,11:27:00,12:00:00,15B,queued_meal,2.0,2.0,33.0,1,0,1,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
153_84,153,85,84,In house,1,,,11:30:00,12:15:00,4B,direct_meal,,,45.0,0,0,0,1,1,documented,4B,0,
153_85,153,86,85,Walk in,1,,,11:40:00,12:30:00,12,direct_meal,,,50.0,0,0,0,1,1,documented,12,0,
153_86,153,87,86,In house,1,,,11:45:00,12:30:00,16,direct_meal,,,45.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
173_1,173,2,1,Walk in,1,,,06:36:00,09:18:00,10A,direct_meal,,,162.0,0,0,0,1,1,documented,10A,0,
173_2,173,3,2,Walk in,2,,,06:37:00,07:47:00,5,direct_meal,,,70.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
173_3,173,4,3,Walk in,1,,,06:40:00,09:00:00,6B,direct_meal,,,140.0,0,0,0,1,1,documented,6B,0,
173_4,173,5,4,In house,1,,,06:41:00,07:21:00,16,direct_meal,,,40.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
173_5,173,6,5,Walk in,2,,,06:52:00,07:54:00,7A,direct_meal,,,62.0,0,0,0,1,1,documented,7A,0,
173_6,173,7,6,Walk in,1,,,06:58:00,07:54:00,1A,direct_meal,,,56.0,0,0,0,1,1,documented,1A,0,
173_7,173,8,7,In house,1,,,07:00:00,07:23:00,1B,direct_meal,,,23.0,0,0,0,1,1,documented,1B,0,
173_8,173,9,8,In house,4,,,07:00:00,08:34:00,4,direct_meal,,,94.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
173_9,173,10,9,In house,1,,,07:05:00,07:30:00,8A,direct_meal,,,25.0,0,0,0,1,1,documented,8A,0,
173_10,173,11,10,In house,1,,,07:12:00,07:36:00,7B,direct_meal,,,24.0,0,0,0,1,1,documented,7B,0,
173_11,173,12,11,In house,2,,,07:13:00,07:56:00,8B,direct_meal,,,43.0,0,0,0,1,1,documented,8B,0,
173_12,173,13,12,In house,2,,,07:15:00,07:42:00,12,direct_meal,,,27.0,0,0,0,1,1,documented,12,0,
173_13,173,14,13,In house,2,,,07:20:00,07:56:00,4,direct_meal,,,36.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
173_14,173,15,14,Walk in,1,,,07:30:00,08:35:00,11A,direct_meal,,,65.0,0,0,0,1,1,documented,11A,0,
173_15,173,16,15,In house,1,,,07:30:00,07:41:00,3,direct_meal,,,11.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
173_16,173,17,16,Walk in,2,,,07:36:00,07:56:00,1B,direct_meal,,,20.0,0,0,0,1,1,documented,1B,0,
173_17,173,18,17,In house,1,,,07:35:00,08:02:00,8A,direct_meal,,,27.0,0,0,0,1,1,documented,8A,0,
173_18,173,19,18,Walk in,1,,,07:37:00,08:50:00,16,direct_meal,,,73.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
173_19,173,20,19,Walk in,2,,,07:40:00,11:20:00,6,direct_meal,,,220.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
173_20,173,21,20,Walk in,1,,,07:40:00,09:25:00,7B,direct_meal,,,105.0,0,0,0,1,1,documented,7B,0,
173_21,173,22,21,In house,1,,,07:41:00,07:59:00,7C,direct_meal,,,18.0,0,0,0,1,1,documented,7C,0,
173_22,173,23,22,In house,1,,,07:46:00,07:56:00,12,direct_meal,,,10.0,0,0,0,1,1,documented,12,0,
173_23,173,24,23,In house,2,,,07:48:00,08:46:00,3,direct_meal,,,58.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
173_24,173,25,24,Walk in,2,,,07:51:00,08:21:00,14,direct_meal,,,30.0,0,0,0,1,1,documented,14,0,
173_25,173,26,25,Walk in,6,,,07:56:00,08:56:00,4,direct_meal,,,60.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
173_26,173,27,26,Walk in,2,,,08:05:00,09:04:00,1A,direct_meal,,,59.0,0,0,0,1,1,documented,1A,0,
173_27,173,28,27,In house,2,,,08:05:00,08:52:00,8B,direct_meal,,,47.0,0,0,0,1,1,documented,8B,0,
173_28,173,29,28,Walk in,3,,,08:06:00,08:53:00,9,direct_meal,,,47.0,0,0,0,1,1,needs_mapping,,1,รหัสโต๊ะต้องยืนยัน
173_29,173,30,29,Walk in,1,,,08:16:00,09:29:00,8A,direct_meal,,,73.0,0,0,0,1,1,documented,8A,0,
173_30,173,31,30,In house,2,,,08:23:00,09:07:00,12,direct_meal,,,44.0,0,0,0,1,1,documented,12,0,
